"","Area.name","Area.code","Area.type","Specimen.date","Daily.lab.confirmed.cases","Cumulative.lab.confirmed.cases"
"357","Northumberland","E06000057","Upper tier local authority","2020-04-19",20,625
"358","Northamptonshire","E10000021","Upper tier local authority","2020-04-19",30,938
"359","North Yorkshire","E10000023","Upper tier local authority","2020-04-19",15,663
"360","North Tyneside","E08000022","Upper tier local authority","2020-04-19",4,400
"361","North Somerset","E06000024","Upper tier local authority","2020-04-19",2,173
"362","North Lincolnshire","E06000013","Upper tier local authority","2020-04-19",7,218
"363","North East Lincolnshire","E06000012","Upper tier local authority","2020-04-19",1,103
"364","Norfolk","E10000020","Upper tier local authority","2020-04-19",51,1092
"365","Newham","E09000025","Upper tier local authority","2020-04-19",5,875
"366","Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-19",17,747
"367","Milton Keynes","E06000042","Upper tier local authority","2020-04-19",2,395
"368","Middlesbrough","E06000002","Upper tier local authority","2020-04-19",11,412
"369","Merton","E09000024","Upper tier local authority","2020-04-19",6,600
"370","Medway","E06000035","Upper tier local authority","2020-04-19",6,514
"371","Manchester","E08000003","Upper tier local authority","2020-04-19",18,883
"372","Luton","E06000032","Upper tier local authority","2020-04-19",1,501
"373","Liverpool","E08000012","Upper tier local authority","2020-04-19",20,1191
"374","Lincolnshire","E10000019","Upper tier local authority","2020-04-19",20,665
"375","Lewisham","E09000023","Upper tier local authority","2020-04-19",6,826
"376","Leicestershire","E10000018","Upper tier local authority","2020-04-19",18,734
"377","Leicester","E06000016","Upper tier local authority","2020-04-19",22,505
"378","Leeds","E08000035","Upper tier local authority","2020-04-19",32,992
"379","Lancashire","E10000017","Upper tier local authority","2020-04-19",45,2223
"380","Lambeth","E09000022","Upper tier local authority","2020-04-19",11,1044
"381","Knowsley","E08000011","Upper tier local authority","2020-04-19",8,434
"382","Kirklees","E08000034","Upper tier local authority","2020-04-19",11,451
"383","Kingston upon Thames","E09000021","Upper tier local authority","2020-04-19",1,390
"384","Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-19",16,287
"385","Kent","E10000016","Upper tier local authority","2020-04-19",37,2672
"386","Isle of Wight","E06000046","Upper tier local authority","2020-04-19",1,73
"387","Hounslow","E09000018","Upper tier local authority","2020-04-19",10,587
"388","Hillingdon","E09000017","Upper tier local authority","2020-04-19",10,649
"389","Hertfordshire","E10000015","Upper tier local authority","2020-04-19",23,1930
"390","Herefordshire, County of","E06000019","Upper tier local authority","2020-04-19",6,159
"391","Havering","E09000016","Upper tier local authority","2020-04-19",8,571
"392","Hartlepool","E06000001","Upper tier local authority","2020-04-19",4,98
"393","Harrow","E09000015","Upper tier local authority","2020-04-19",14,800
"394","Haringey","E09000014","Upper tier local authority","2020-04-19",13,505
"395","Hampshire","E10000014","Upper tier local authority","2020-04-19",47,2262
"396","Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-19",5,492
"397","Halton","E06000006","Upper tier local authority","2020-04-19",7,274
"398","Hackney","E09000012","Upper tier local authority","2020-04-19",5,566
