"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"264","England","E92000001","Nation","2020-03-19",42,154
"265","Wales","W92000004","Nation","2020-03-18",0,1
"266","Scotland","S92000003","Nation","2020-03-18",1,2
"267","United Kingdom","K02000001","UK","2020-03-18",34,115
"268","England","E92000001","Nation","2020-03-18",33,112
"269","Wales","W92000004","Nation","2020-03-17",NA,1
"270","Scotland","S92000003","Nation","2020-03-17",0,1
"271","United Kingdom","K02000001","UK","2020-03-17",16,81
"272","England","E92000001","Nation","2020-03-17",15,79
"273","Scotland","S92000003","Nation","2020-03-16",0,1
"274","United Kingdom","K02000001","UK","2020-03-16",22,65
"275","England","E92000001","Nation","2020-03-16",22,64
"276","Scotland","S92000003","Nation","2020-03-15",NA,1
"277","United Kingdom","K02000001","UK","2020-03-15",15,43
"278","England","E92000001","Nation","2020-03-15",14,42
"279","United Kingdom","K02000001","UK","2020-03-14",18,28
"280","England","E92000001","Nation","2020-03-14",18,28
"281","United Kingdom","K02000001","UK","2020-03-13",1,10
"282","England","E92000001","Nation","2020-03-13",1,10
"283","United Kingdom","K02000001","UK","2020-03-12",2,9
"284","England","E92000001","Nation","2020-03-12",2,9
"285","United Kingdom","K02000001","UK","2020-03-11",0,7
"286","England","E92000001","Nation","2020-03-11",0,7
"287","United Kingdom","K02000001","UK","2020-03-10",4,7
"288","England","E92000001","Nation","2020-03-10",4,7
"289","United Kingdom","K02000001","UK","2020-03-09",1,3
"290","England","E92000001","Nation","2020-03-09",1,3
"291","United Kingdom","K02000001","UK","2020-03-08",0,2
"292","England","E92000001","Nation","2020-03-08",0,2
"293","United Kingdom","K02000001","UK","2020-03-07",1,2
"294","England","E92000001","Nation","2020-03-07",1,2
"295","United Kingdom","K02000001","UK","2020-03-06",1,1
"296","England","E92000001","Nation","2020-03-06",NA,1
